,roles,companies,locations,experience,salary,Dates,PresentDate,skills
0,Senior Associate - Regulatory Information Management & Systems ( RIMS),Amgen Inc,Hyderabad,2-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,business operationsData PresentationProcess AutomationData ManagementData AnalysisData ExtractionOperational SupportData Reporting
1,Senior Associate IS Security Engineer,Amgen Inc,Hyderabad,1-6 Yrs,Not disclosed,4 Days Ago,2024-11-24,cyber securitysecurity operationsscriptingREST APIAzureDevOpsGCPAgile
2,"SAP Developer ( ABAP, Fiori )",Amgen Inc,Hyderabad,1-6 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAP ABAPSAP FioriOData servicesSAP ATCCI/CDcode reviewsSAP WorkflowSAP S/4HANA
3,Senior Associate IS Engineer,Amgen Inc,Hyderabad,1-6 Yrs,Not disclosed,4 Days Ago,2024-11-24,VMware administrationRoot Cause AnalysisnegotiationtroubleshootingESX administrationPerlITILsystem security
4,Manager Quality Complaints,Amgen Inc,Hyderabad,4-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,quality managementproject managementtesting processesquality auditsComplaints managementQuality auditQualitySoftware testing
5,Sr. Quality Assurance Engineer,Amgen Inc,Hyderabad,3-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,Quality Assuranceautomation scriptsDevOpsproject managementContinuous Integrationmanual testingagileweb application testing
6,"SAP Lead Solution Architect, Source To Pay",Amgen Inc,Hyderabad,2-7 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAP Aribaarchitectural reviewsproject managementKanbanS/4HANAtroubleshootingScrumagile
7,"Senior Manager Enterprise Data Cloud Optimization, Test Automation",Amgen Inc,Hyderabad,8-13 Yrs,Not disclosed,4 Days Ago,2024-11-24,Cloud Infrastructureproject managementdata analyticsData WarehouseDatabricksbig datamachine learningAWS
8,Productivity Tools & Technology Engineer,Amgen Inc,Hyderabad,10-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,Software engineeringAzureDevOpsData EngineeringGCPChefAnsibleAWS
9,Agile Coach,Amgen Inc,Hyderabad,10-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,AgileKanbanPMPconfluenceproduct managementprogram managementbusiness analysisscrum
10,"Sr. Manager, Digital Technology & Innovation - Sensing",Amgen Inc,Hyderabad,10-14 Yrs,Not disclosed,4 Days Ago,2024-11-24,Information Systems managementAgile processDevOpsData integrationChefAnsibleAWSPuppet
11,Sr. MES Engineer,Winning Edge,Bengaluru,5-8 Yrs,Not disclosed,4 Days Ago,2024-11-24,ERPMESPMXSyncadeS95c#vb scriptintegration testing
12,Technical Product Owner - Manufacturing Systems,Amgen Inc,Hyderabad,4-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,Technical Product managementAzurestakeholder managementAgile methodologyDatabricksAWSSQLPython
13,SAP Technical Architect,Amgen Inc,Hyderabad,4-9 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAP architectureGenAIlandscape designDevOpsSAPTerraformAnsibletechnology strategy
14,Senior Manager SAP Release Management,Amgen Inc,Hyderabad,14-18 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAPSAP Change ControlScrum MasterAgileTest ManagementSAP TMSSAFeRelease Management
15,Principal Site Reliability Engineer,Amgen Inc,Hyderabad,8-13 Yrs,Not disclosed,4 Days Ago,2024-11-24,Incident ManagementdatabasesAutomationDevOpsSite ReliabilityCapacity PlanningSystem ReliabilityCost Optimization
16,Data Engineer,Amgen Inc,Hyderabad,10-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,Data EngineeringJenkinsMavenDevOpsCI/CDNOSQLSQLSAFe Agile
17,SAP Senior Basis Architect,Amgen Inc,Hyderabad,10-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAPSAP ECCS3RDSSAP EC2S/4HANASAP HANAUnix system administration
18,"SAP Senior Developer (ABAP, Fiori)",Amgen Inc,Hyderabad,10-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAPSAP FioriCAPSAP ABAPAMDPRICEFWSAP S/4HANAABAP
19,Specialist SAP Architect - Clinical Supply Chain,Amgen Inc,Hyderabad,10-12 Yrs,Not disclosed,4 Days Ago,2024-11-24,SAPSAP S/4 HanaAgile methodologiesAgiledemand planning systemAriba supplier collaborationTransportation managementroot cause analysis
20,Pharmacist,Cans Multi Speciality Hospital,Bengaluru,1-4 Yrs,Not disclosed,4 Days Ago,2024-11-24,PharmacistPharmacy
21,Senior Manager Organizational Effectiveness,Amgen Inc,Hyderabad,14-18 Yrs,Not disclosed,4 Days Ago,2024-11-24,Strategic PlanningChange ManagementStaff DevelopmentStrategic ExecutionPerformance ManagementOrganizational DesignStaff EngagementSenior
22,WARD Nurses,Cans Multi Speciality Hospital,Bengaluru,1-5 Yrs,Not disclosed,4 Days Ago,2024-11-24,WARD NursesNursing
