,roles,companies,locations,experience,salary,Dates,PresentDate,skills
0,Senior Nutrition Sales Executive,Abbott,Chennai,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,customer segmentationConsultative salesNutritionHealthcareAccount managementCustomer engagementNutrition Sales ExecutiveBrand building
1,Business Executive,Merck,Kolkata,1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,pharmaceuticalbiologypharmaceuticspharma marketingmathematicsteachingmedicinenursing
2,Associate-Surgical Robotics,Medtronic,Gurugram,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,SurgicalCFocusManager TechnologyHealthcareTalent managementIndividual ContributorProgram governance
3,Sister In-charge,Cancer Centre Welfare Home And Research Institute (thakurpukur),Kolkata,2-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,aclsgnmnursinginfection controlmedicinemedical servicespatient carehealthcare
4,Staff nurse,BRJ Ortho Centre & Mak Hospital,Coimbatore,0-1 Yrs,Not disclosed,30+ Days Ago,2024-11-24,opdemergency medicinehealth care servicesgnmorthonursingmedicinepatient care
5,Digital Marketing Executive,BRJ Ortho Centre & Mak Hospital,Coimbatore,0-1 Yrs,Not disclosed,30+ Days Ago,2024-11-24,digital marketingdigitalmarketing budgetmarketing strategykeyword analysisgoogle adwordsinbound marketingmedia
6,Pharmacist,Secure Hospital Hubli,"Chikmagalur, Mysuru",1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,pharmaceuticalsideopdmedicinemedical servicesinventorypharmacovigilancedrug
7,Pediatrician,Secure Hospital Hubli,Koppal,2-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,opdintensive carecritical caredchmedicinenursinggeneral medicinehealthcare
8,Nursing Supervisor,Secure Hospital Hubli,Chikmagalur,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,gnmus healthcarenursingmedicineclaims adjudicationpatient carehealthcareclaims processing
9,Nursing Staff,Secure Hospital Hubli,"Hubli, Mysuru",1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,patient safetyhealth care servicesadministrationgnmcritical carenursinginfection controlmedication administration
10,Night Duty Manager,Secure Hospital Hubli,Mysuru,5-10 Yrs,Not disclosed,30+ Days Ago,2024-11-24,team managementadministrationcustomer serviceteam handlingtraininginventoryquality monitoringsales
11,IT Executive,Secure Hospital Hubli,Hubli,3-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,switchingsecurity managementhardware networkingadministrationnetworkingsoftware installationroutingsystem administration
12,General Physician,Secure Hospital Hubli,"Hubli, Gadag, Koppal",2-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,opdpharmaceuticalemergency medicineinternal medicinecritical caremedicinepatient caregeneral medicine
13,Associate Robotic Start Up Specialist,Medtronic,Gurugram,1-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,SurgicalFocusManager TechnologyHealthcareMentorTalent managementIndividual ContributorProgram governance
14,Solution Engineer - PSSP Data Analyst,Pfizer,Chennai,2-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Computer scienceData analysisApplication supportmetadataData managementData modelingProject managementAnalytical
15,Solution Engineer - PSSP Analytical Reporting,Pfizer,Chennai,3-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Computer scienceData analysisApplication supportData modelingProject managementAnalyticalMarket intelligenceSDLC
16,Radiology - MT,Zydus Sitapur Hospital,Sitapur,3-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,RadiologyMT
17,Manager Operations,Birla Fertility IVF,Agra,5-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,HousekeepingCounsellorService excellenceInventory managementManagementFacility managementCounsellingOperations management
18,IVF Consultant,Birla Fertility IVF,Ranchi,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,TrainingCounsellorSalesGynecologyIssue resolutionDNBSales trainingCounselling
19,Embryologist,Birla Fertility IVF,Gurugram,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,TrainingCounsellorTQMEmbryologyInventory managementResearchManagementSupervision
20,DGM Maintenance & Project,Sunrise Solutions,"Faridabad, Delhi / NCR",20-25 Yrs,18-25 Lacs PA,14 Days Ago,2024-11-24,DGM Maintenance & ProjectPlant Maintenance Machine Maintenance Utility ProjectsPlantPlant maintenanceDGMUtilityProjectMachine
21,Senior Field Education Specialist,Medtronic,Gurugram,5-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,TrainingMedical devicesSurgicalPathwayTraining need analysisHealthcarecardiac surgeryBusiness strategy
22,Sales Rep III - CRM,Medtronic,Jaipur,7-10 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Direct salesMarket developmentSales strategyPenetrationManager TechnologyHealthcareMarket researchTalent management
23,Therapy Business Manager,Abbott,Chennai,1-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Customer managementClaimsBrand managementPharmaMarket intelligenceCustomer serviceBusiness strategyMerchandising
24,Optometrist,Rayhan Eye Hospital And Lasik Centre,Malappuram,3-8 Yrs,Not disclosed,30+ Days Ago,2024-11-24,glaucomaparamedic activitiesdiagnosisretail salesbusiness developmentpatient careopticscataract surgery
25,Key Account Manager -Derma Prime-,Abbott,Ahmedabad,3-13 Yrs,Not disclosed,15 Days Ago,2024-11-24,Analytical skillsMedical devicesDermatologyPharmaRelationship buildingBusiness planningHealthcareCME
26,Territory Business Manager | General Medicine |,Abbott,Chennai,2-7 Yrs,Not disclosed,15 Days Ago,2024-11-24,TrainingBrand AmbassadorPharmaAnalyticalRelationship buildingSupervisionSalesforceMedicine
27,Territory Manager,Dr Reddys Path Labs,Thiruvananthapuram,5-6 Yrs,Not disclosed,15 Days Ago,2024-11-24,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy
28,Sales Representative,Ortho Max Manufacturing Company,Vadodara,3-6 Yrs,Not disclosed,30+ Days Ago,2024-11-24,TravelSales RepresentativeEducationEnergeticHindiSales
29,Sr Manager,Ortho Max Manufacturing Company,Vadodara,5-10 Yrs,Not disclosed,30+ Days Ago,2024-11-24,operationslogistic management.businesssupply chainManagementLogisticsLogistics managementSR
30,Associate Clinical Specialist,Medtronic,Chennai,1-4 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Product portfolioManager TechnologyPresalesHealthcareMentorTalent managementIndividual Contributorbiomedical
31,Quality Assurance Manager,Medtronic,Gurugram,5-9 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Manager Internal AuditManager Quality AssuranceTeam managementPerformance managementExternal auditHealthcareContinuous improvementSCM
32,Area Sales Manager,Dr Reddys Path Labs,Vijayawada,4-10 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Product launchReport generationInterpersonal skillsSales strategyAnalyticalRelationship buildingPharmaArea sales
33,STAFF NURSE,Harkaar Ivf & Maternity Centre,Srinagar,1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,opdgnmnursingpatient caregynecologyoperation theatredressingccu
34,OT TECHNICIAN,Harkaar Ivf & Maternity Centre,Srinagar,1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,equipmentorthopedicsorthonursingmedicineentpatient caregeneral medicine
35,LAB TECHNICIAN,Harkaar Ivf & Maternity Centre,Srinagar,1-3 Yrs,Not disclosed,30+ Days Ago,2024-11-24,laboratory managementbiotechnologypathologylab testingquality controlsoftware testingblood bankmicrobiology
36,Cataract Surgeon ( Ophthalmologist ),The Retina Centre,Guwahati,1-5 Yrs,Not disclosed,30+ Days Ago,2024-11-24,gnm nurseNursingGNMMedical servicesOT NursePatient careOphthalmologySurgeon
37,Scientific Business Officer,Dr Reddys,Hosur,2-7 Yrs,Not disclosed,30+ Days Ago,2024-11-24,Pharma sellingStakeholder managementMedical RepresentativeMedicalPharmaceuticalSellingManagementScience
38,Senior Statistical Data Scientist,Pfizer,Chennai,2-9 Yrs,Not disclosed,30+ Days Ago,2024-11-24,CROBiotechnologyQCPharmaProgrammingDataStatisticsPharmaceutical
39,Qc Executive,Aurobindo Pharma,Tirupati,2-7 Yrs,Not disclosed,16 Days Ago,2024-11-24,Qc AnalysisQa/QcPFPGMPStability AnalysisGLPQuality ControlQuality assurance
